question_number,question_text,choices,has_image,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,claude_answer,claude_explanation,claude_confidence,gemini_answer,gemini_explanation,gemini_confidence,o1_answer,o1_explanation,o1_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence
119E25,薬物投与で皮疹が出現した場合に、添付文書でまず確認するのはどれか。 ,a. 効能又は効果 | b. 用法及び用量 | c. 相互作用 | d. 副作用 | e. 薬物動態,False,d,薬物投与後に皮疹が出現した場合、まず確認すべき情報はその薬物の「副作用」です。これにより皮疹がその薬剤の副作用として知られているかどうかを判断できます。他の選択肢（効能、用量、相互作用、薬物動態）は、皮疹の直接的な情報とは関係が薄いです。,1.0,d,薬物による皮疹は副作用の一種であり、添付文書の「副作用」の項目に、発現頻度や重篤度、対処方法などの重要な情報が記載されているため、まずここを確認するべきです。他の項目は皮疹の直接的な情報源としては適切ではありません。,0.9,d,薬物投与による皮疹は副作用の可能性が高いため、添付文書でまず確認すべきは「副作用」の項目である。,1.0,d,皮疹が副作用として記載されているかをまず確認するため。,1.0,d,薬物投与後に皮疹が発現した場合、副作用としての可能性が高いため、まずは添付文書の副作用欄を確認するのが適切です。,1.0
119E26,42歳の男性。職場の健康診断で1高血圧を指摘され来院した。仕事は2事務職で、1年前から仕事が忙しく、3過食気味で体重が8kg増加した。既往歴に特記すべきことはない。喫煙歴はない。飲酒はビール350mL/日。身長172cm、体重80kg。4脈拍72/分、整。血圧144/92mmHg。身体診察に異常を認めない。血液生化学所見:血糖72mg/dL、HbAlc5.8%(基準4.9~6.0)、トリグリセリド190mg/dL、HDLコレステロール62mg/dL、5LDLコレステロール146mg/dL。体重の減量を目的に食事療法を行う。下線部のうち、推定エネルギー必要量(kcal/日)の算出に必要なのはどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,False,a,推定エネルギー必要量を算出するためには、基礎代謝率を元に活動レベルを考慮する必要があります。この場合、選択肢の「1高血圧」は年齢と活動レベルに関連している可能性があるため、活動レベルの指標と考えられる。よって、「1高血圧」（年齢）が他の選択肢よりも関連性が高いと考えました。,0.8,b,推定エネルギー必要量の算出には、性別、年齢、身長、体重、身体活動レベル（pal）が必要です。下線部2の「事務職」は身体活動レベルを判断するための重要な情報となります。事務職は一般的に低～中程度の身体活動レベル（pal）として分類され、これによって適切な活動係数を設定することができます。,0.9,a,推定エネルギー必要量の算出には、活動量や基礎代謝量を推定するために、血圧やコレステロール値よりも、高血圧の有無が重要となるため。,1.0,b,推定エネルギー必要量の算出には身体活動量を考慮する必要があり，事務職という活動量の情報が含まれる選択肢2が必要となるため。,1.0,b,推定エネルギー必要量を算出する際は、基礎代謝量に加え身体活動レベルを考慮します。選択肢の中で、身体活動レベルの指標として事務職（2）が該当するため、食事療法におけるエネルギー計算に必要な情報となります。,1.0
119E27,"65歳の女性。右変形性膝関節症のため、右人工膝関節置換術が予定されている。術前評価のため受診した。6か月前から右膝の痛みが出現し、徐々に悪化し、歩けなくなった。整形外科を受診し、手術適応となった。3か月前に乳癌の手術を受け、薬物による抗癌治療中である。仕事は事務職でデスクワークが主体である。意識は清明。身長149cm、体重68kg。体温36.0℃。脈拍84/分、整。血圧150/70mmHg。呼吸数20/分。SpO296%(roomair)。頸静脈の怒張を認めない。心音と呼吸音とに異常を認めない。右下肢に圧痕性浮腫を認める。血液所見:赤血球414万、Hb11.3g/dL、Ht36%、血小板23万、PT-INR0.9(基準0.9~1.1)、Dダイマー9.0μg/mL(基準1.0以下)。血液生化学所見:尿素窒素30mg/dL、クレアチニン2.0mg/dL、血糖105mg/dL、Na140mEq/L、K4.6mEq/L、Cl107mEq/L,Ca9.2mg/dL.CRP0.8mg/dL.この時点で実施すべき検査はどれか。 ",a. 腹部単純CT | b. 腎シンチグラフィ | c. 下肢動脈造影検査 | d. 下肢静脈超音波検査 | e. 足関節上腕血圧比〈ABI〉,False,d,脚の圧痕性浮腫と高いdダイマー値は深部静脈血栓症（dvt）の可能性を示唆しているため、下肢静脈超音波検査が適切である。,0.9,d,この患者は以下のリスク因子と所見から深部静脈血栓症(dvt)が強く疑われます：,0.9,d,dダイマー高値と右下肢の浮腫から深部静脈血栓症(dvt)の可能性が高い。下肢静脈超音波検査はdvtの診断に有用である。,0.9,d,dダイマー高値と下肢浮腫から深部静脈血栓症を疑い，下肢静脈超音波検査による評価が必要である。,1.0,d,患者は術前評価中に、右下肢の圧痕性浮腫と著明に上昇したd‐ダイマー（9.0μg/ml）が認められており、深部静脈血栓症（dvt）の可能性が高い。そのため、まずは下肢静脈超音波検査でdvtの有無を評価する必要がある。,1.0
119E28,80歳の男性。発熱、咳嗽および呼吸困難のため救急車で搬入された。既往歴に脳梗塞があり、右片麻痺と失語がある。体温38.6℃。心拍数108/分、不整。血圧142/100mmHg。呼吸数24/分。SpO290%(鼻カニューラ2L/分酸素投与下)。右背側にcoarse cracklesを聴取する。検査の結果、肺炎と診断され、抗菌薬投与のため末梢静脈路確保を行うこととした。この患者の末梢静脈路確保に最も適切な静脈はどれか。 ,a. 左肘正中皮静脈 | b. 右肘正中皮静脈 | c. 左橈側皮静脈 | d. 右橈側皮静脈 | e. 右大伏在静脈,False,a,右片麻痺があるため、麻痺していない左側の静脈を選ぶべきです。左肘正中皮静脈はアクセスがしやすく、末梢静脈路確保に適しています。,0.9,a,この患者は右片麻痺があるため、左側の血管を選択するべきです。また、静脈路確保には太い血管の方が確実で、肘正中皮静脈は太く、確保しやすい部位です。橈側皮静脈より肘正中皮静脈の方が太く、大伏在静脈は感染リスクが高いため、左肘正中皮静脈が最適です。,0.9,a,右片麻痺があるため、健側である左側を選択する。肘正中皮静脈は橈側皮静脈より一般的に穿刺しやすい。,0.9,a,右片麻痺があるため健側である左側の静脈を選択しやすい。一般的に肘正中皮静脈は穿刺しやすく、安定したルート確保が可能であるため最も適切と考えられる。,0.9,a,患者は右側に麻痺があり、合併症発見が困難になるため、麻痺のない左側を確保するのが適切です。さらに、肘正中皮静脈は太く安定しており、抗菌薬投与に適した末梢静脈として選ばれます.,1.0
119E29,65歳の男性。背部痛を主訴に来院した。肺癌の骨転移で治療を受けている。疼痛コントロール目的で入院となった。外来ではモルヒネ徐放製剤を内服していたが、指導医と相談の上、投与経路を皮下注射に変更することになった。塩酸モルヒネ注製剤と生理食塩液を混合して5mg/mLの溶液を調整した。1日投与量を24mg/日としたい。この注射薬を持続皮下注射する場合の投与速度はどれか。 ,a. 0.1mL/時間 | b. 0.2mL/時間 | c. 0.4mL/時間 | d. 0.5mL/時間 | e. 0.8mL/時間,False,b,1日24mgを5mg/mlの濃度で調整した溶液から皮下注射する場合、1日の総投与量（24mg）を濃度（5mg/ml）で割ると必要な総量（24mg ÷ 5mg/ml = 4.8ml）が求まる。これを24時間で投与するための速度は4.8ml ÷ 24時間 = 0.2ml/時間となる。したがって、正しい選択肢はb. 0.2ml/時間である。,1.0,b,計算手順：,0.95,b,24mg/日 ÷ 24時間 = 1mg/時間。5mg/mlの溶液なので、1mg/時間 ÷ 5mg/ml = 0.2ml/時間。,1.0,b,24mg/日を5mg/mlの製剤で投与すると、24mg ÷ 5mg/ml = 4.8ml/日であり、1時間あたり 4.8ml ÷ 24時間 = 0.2ml/時間となる。,1.0,b,24 mg/日を投与するには、5 mg/mlの溶液で4.8 mlを1日で投与する必要があり、24時間で割ると0.2 ml/時間となるため。,1.0
119E30,72歳の男性。右眼の視力低下を主訴に来院した。2年前に左眼が同様の症状となり、手術を受けたという。視力は右0.5(矯正不能)、左1.0(矯正不能)。眼圧は右15mmHg、左14mmHg。右眼の細隙灯顕微鏡写真(別冊No.4)を別に示す。両眼とも眼底に異常を認めない。右眼の疾患はどれか。 ,a. 内反症 | b. 白内障 | c. 円錐角膜 | d. 急性緑内障発作 | e. 原発開放隅角緑内障,True,b,画像からは水晶体が濁っている様子が見られ、典型的な白内障の兆候です。視力低下の主訴は白内障に合致し、眼圧も正常範囲内であることから、他の疾患の可能性は低いです。,0.95,b,72歳の高齢者で徐々に進行する視力低下、対側眼の手術歴、正常眼圧、矯正不能な視力低下という臨床所見は白内障に典型的です。また、細隙灯顕微鏡写真で水晶体の混濁が観察できることから、白内障と診断できます。他の選択肢（内反症、円錐角膜、緑内障）は症状や所見が一致しません。,0.95,b,写真から水晶体が混濁していることがわかる。2年前に左眼の手術歴があることからも白内障が考えられる。,1.0,b,手術歴や水晶体混濁像から白内障が最も適切と判断した。,1.0,b,高齢者で両眼とも眼底所見に異常がなく、矯正不能な視力低下が認められる点、また2年前に左眼が同様の症状で手術されていることから、最も疑われるのは白内障であるため。,1.0
119E31,38歳の初妊婦(1妊0産)。妊娠37週4日、家庭血圧で150/100mmHgを認めたため受診した。妊娠28週の妊婦健康診査で診察室血圧136/80mmHgであったため、家庭血圧測定が開始されていた。来院時、血圧160/110mmHg、随時尿で尿蛋白/Cr比は0.9g/gCrであったため入院管理となった。病棟到着時、意識消失とけいれんを認めた。まず投与すべき薬剤はどれか。 ,a. グルコン酸カルシウム | b. ドパミン | c. ニトログリセリン | d. フロセミド | e. 硫酸マグネシウム,False,e,妊娠後期の重症高血圧と蛋白尿を伴い、意識消失とけいれんを呈しているこの症例は、子癇が疑われます。子癇の急性発作の管理には、硫酸マグネシウムが第一選択薬として使用されます。硫酸マグネシウムは、抗けいれん作用があり、子癇の予防と治療に有効です。したがって、正しい選択は硫酸マグネシウムです。,1.0,e,妊娠高血圧症候群に伴う子癇発作の症例です。子癇発作に対する第一選択薬は硫酸マグネシウムです。硫酸マグネシウムには抗けいれん作用があり、中枢神経系の興奮を抑制します。また、子癇発作の予防にも有効で、母体と胎児の両方に安全な薬剤です。,0.95,e,妊娠37週、高血圧、蛋白尿、けいれんから、子癇と診断できる。子癇に対しては硫酸マグネシウムが第一選択薬である。,1.0,e,子癇（エクラムプシー）では、まず硫酸マグネシウムを投与するのが第一選択である。,1.0,e,本例は妊娠高血圧症候群の重症例で、意識消失とけいれんを認めたため、子癇と考えられる。子癇の初期治療として硫酸マグネシウムが第一選択薬であるため。,1.0
119E32,49歳の男性。健康診断で初めて高血圧を指摘され来院した。普段から味の濃い食べ物を好み、塩分の摂りすぎを気にしている。減塩はしていない。喫煙歴はない。飲酒は機会飲酒。身長172cm、体重72kg。体温36.4℃。脈拍68/分、整。血圧146/92mmHg。この患者の行動変容のステージに基づく指導で適切なのはどれか。 ,a. 「減塩しなければ脳出血になります」 | b. 「塩分の取りすぎが高血圧の原因です」 | c. 「味の濃い食べ物を摂るのを控えましょう」 | d. 「どのようにしたら減塩できると思いますか」 | e. 「その気になるまで減塩する必要はありません」,False,d,患者は塩分の摂りすぎを気にしており、行動変容の準備段階にあると考えられる。準備段階では具体的な行動に向けた支援が適切であり、「どのようにしたら減塩できると思いますか」という質問は患者自身が行動の計画を立てる手助けをするため、適切な指導である。,1.0,d,"この患者は塩分摂取過多を自覚しており（関心期）、減塩の必要性は理解しているものの、まだ実行に移せていない状態です。行動変容ステージでは、患者自身に解決策を考えてもらう開放型の質問が効果的です。脅かしや一方的な指導（a,b,c）、放置（e）は不適切で、患者自身の行動変容への動機づけを引き出す対話（d）が最適です。",0.9,d,血圧が指摘されたばかりで、減塩を特に意識していないことから、行動変容ステージは準備期または関心期と考えられる。「どのようにしたら減塩できると思いますか」と問いかけることで、患者自身に解決策を考えさせ、行動への意欲を高めることが適切である。,0.9,d,患者は塩分過多を認識しつつ行動に移せていない段階（熟考期）にあり、自発的な行動変容を促すため「どのように減塩できると思いますか」と患者自身に方法を考えさせるアプローチが適切であるため。,0.9,d,患者は高血圧の指摘を受け、塩分摂取が多いことを認識しているものの、まだ具体的な減塩行動を起こしていません。行動変容のステージでは、意識が芽生えた「熟考期」にあり、患者自身に変化の方法を考えさせる質問が効果的です。したがって、「どのようにしたら減塩できると思いますか」という選択肢が適切です。,1.0
119E33,50歳の男性。頭痛を主訴に救急外来を受診した。頭痛は6時間前に出現し現在は軽快している。これまでに経験したことのない激しい頭痛であったため来院した。来院時、意識は清明。身長162cm、体重55kg。体温36.9℃。脈拍84/分、整。血圧156/92mmHg。呼吸数18/分。緊急性を判断するために確認すべき徴候はどれか。 ,a. 耳鳴 | b. 結膜充血 | c. 項部硬直 | d. 閃輝暗点 | e. 四肢のしびれ,False,c,突発的で激しい頭痛の訴えがある場合、くも膜下出血の可能性を考慮し、項部硬直の有無を確認することが重要です。項部硬直は、くも膜下出血の征候の一つであり、鑑別において重要な情報となります。したがって、この症例で緊急性を判断するために確認すべき徴候は項部硬直です。,0.9,c,突然の激しい頭痛の場合、くも膜下出血の可能性を考慮する必要があります。項部硬直は髄膜刺激症状の一つで、くも膜下出血の重要な診断所見です。緊急性の判断において、生命の危険に直結する可能性のあるくも膜下出血の除外は最優先事項となります。,0.9,c,経験したことのない激しい頭痛であり、くも膜下出血の可能性を考慮する必要がある。項部硬直は髄膜刺激症状を示唆し、緊急性の高い徴候である。,0.9,c,突発的な激しい頭痛ではくも膜下出血を疑い，項部硬直の有無が緊急性を判断するために重要だから。,0.99,c,項部硬直はくも膜下出血など、髄膜刺激症状を伴う緊急疾患で見られる重要な徴候であるため。,1.0
119E34,72歳の男性。食道癌で訪問診療を受けている。3年前に食道癌の手術を受けた。6か月前に肺と骨に多発転移が見つかり、余命数か月と告知を受けた。本人の強い希望で積極的な治療はせず、自宅で在宅療養をしている。ここ1か月で嚥下障害が進行し、体重が著しく減少した。本人は訪問診療に訪れた医師に「尊厳死宣言文書」を提示して「痛みがつらくて寝られないから早く死なせて欲しい」と訴えている。家族は本人の意向を尊重したいと言っている。行うべき対応はどれか。 ,a. 胃瘻造設 | b. 経過観察 | c. 筋弛緩薬静注 | d. 高カロリー輸液 | e. 疼痛コントロール,False,e,患者は痛みを訴えており、尊厳死を希望していますが、医師はまず患者の苦痛を和らげるための疼痛コントロールを行うべきです。疼痛コントロールは患者のqolを改善し、尊厳死を希望する背景にある痛みや不快感を軽減するための重要なステップです。他の選択肢は患者の希望や状態、倫理的観点から適切ではないです。,0.9,e,終末期患者の訴えに対して、安楽死（積極的な死の促進）は違法です。この場合、患者の主訴は「痛みがつらくて寝られない」であり、適切な疼痛コントロールによって苦痛を緩和することが最優先されます。緩和医療の基本原則に従い、患者のqolを改善することが重要です。,0.95,e,患者は疼痛を訴えており、まずは疼痛コントロールを行うことが適切である。「尊厳死宣言文書」の提示や家族の意向を尊重することも重要だが、現時点で最も優先すべきは患者の苦痛の緩和である。,1.0,e,痛みに対する十分な緩和ケア(疼痛コントロール)を行うことが最重要であり、我が国では安楽死や積極的な安楽死は法律で認められていないため。,0.9,e,この患者は末期状態であり、延命治療を希望せず在宅療養中で、痛みなどの症状緩和が最優先されるべきです。疼痛コントロールによる緩和ケアが、本人・家族の意向を尊重する対応となります。,1.0
119E35,157歳の男性。呼吸困難を主訴に来院した。3日前から咳嗽があり、昨日から発熱、本日から呼吸困難が出現した。2同居家族にも発熱と咳嗽を認める。既往歴に特記すべきことはない。意識レベルはJCS1-3。3体温38.2℃。脈拍104/分、整。血圧110/68mmHg。呼吸数28/分。4SpO290%(roomair)。口腔内と皮膚は乾燥している。5右胸部にcoarse cracklesを聴取する。胸部エックス線写真で右中肺野に浸潤影を認めた。下線部のうち、意識レベルと口腔内·皮膚所見に加えて入院が必要と判断する要素はどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,False,d,入院が必要と判断する要素として、spo2の低下は重要な指標です。この患者はspo2が90%と低下しており、酸素療法が必要な状態を示しています。そのため、選択肢dのspo2 90%が入院判断の要素と考えられます。,0.9,d,spo2 90%(room air)という所見は重要な入院基準の1つです。一般的に、spo2が90%以下の場合は重症と判断され、入院の適応となります。特に呼吸数も28/分と頻呼吸を示しており、呼吸不全の状態を示唆します。年齢(57歳)、同居家族の症状、体温、脈拍、聴診所見は重要な情報ですが、spo2低下ほど入院の必要性を直接的に示す指標ではありません。,0.9,d,spo2 90% (room air) は呼吸不全を示唆し、入院が必要な要素となる。他の要素は、年齢、家族歴、バイタルサインの一部、身体所見の一部であり、緊急入院の絶対的な適応とはならない。,1.0,d,spo2が90％と低下していることは入院適応となる重要な所見であるため。,0.9,d,本例は肺炎と考えられ、既に意識レベルの低下（jcs1‐3）および口腔内・皮膚の乾燥（脱水を示唆）といった入院適応の所見がある中、他に入院を判断する要素としては、低酸素血症が挙げられる。spo₂が90%（room air）である点は、呼吸不全の可能性を示し、入院管理が必要と判断できるため、選択肢「4」が正解である。,1.0
119E36,1歳の男児。灯油を誤飲したため救急車で搬入された。父親が石油ストーブの給油タンクに灯油を入れる準備中に、灯油吸引用ポンプを舐めてしまった。一緒にいた父親が救急車を要請した。意識は清明。体温36.5℃。心拍数120/分、整。血圧90/50mmHg。呼吸数30/分。SpO298%(roomair)。口腔内から灯油臭がしている。呼吸音に異常を認めない。父親への説明で適切なのはどれか。 ,a. 「吐かせましょう」 | b. 「胃洗浄をしましょう」 | c. 「牛乳を飲ませましょう」 | d. 「人工呼吸管理にしましょう」 | e. 「入院して経過をみましょう」,False,e,灯油を誤飲した場合、特に呼吸音に異常がない場合、嘔吐を誘発する行為は誤嚥リスクを高めるため避けるべきです。また、胃洗浄や牛乳の飲用は効果的でない場合が多いです。人工呼吸の必要性も現時点では認められないため、入院して誤嚥性肺炎やその他の症状が現れるか経過観察するのが適切です。,0.9,e,炭化水素（灯油など）の誤飲では、嘔吐させることで誤嚥のリスクが高まるため禁忌です。また、胃洗浄や中和目的の牛乳投与も推奨されません。現時点で呼吸状態は安定していますが、化学性肺炎のリスクがあるため、入院して慎重な経過観察が必要です。,0.9,e,灯油誤飲の場合、少量でも肺炎を起こす可能性があるため、入院して経過観察が必要。催吐や胃洗浄は、誤嚥性肺炎のリスクを高めるため禁忌。牛乳は吸収を促進する可能性があるため推奨されない。呼吸音に異常がないため、現時点で人工呼吸管理は不要。,1.0,e,誤嚥による肺障害のリスクがあり、症状や呼吸状態を観察する必要があるため、入院して経過をみるのが適切である。,0.9,e,灯油誤飲の場合、誤嚥により化学性肺炎を引き起こすリスクがあるため、催吐や胃洗浄、牛乳摂取は禁忌です。現在無症状であっても、経過観察のため入院して慎重に経過を見ることが適切です。,1.0
119E37,"53歳の女性。脂質異常症と診断され、食事療法と運動療法を行っている。本日の外来までに2か月で体重は1kg減ったものの脂質異常は改善せず、担当医は患者と相談し脳血管障害を予防するために内服薬を開始することとした。患者は「脳卒中にはなりたくない。でも治療費はなるべく低く抑えたい。」と言っている。脂質異常症に対する内服薬の脳血管障害発症予防効果および年間薬剤費の表を示す。なお、脂質異常症に対する効果はいずれの内服薬も同程度とする。 薬①: 脳血管障害の発症率10%減らす, 年間薬剤費20,000円 薬②: 脳血管障害の発症率10%減らす, 年間薬剤費12,000円 薬③: 脳血管障害の発症率10%減らす, 年間薬剤費4,000円 薬④: 脳血管障害の発症率不変, 年間薬剤費20,000円 薬⑤: 脳血管障害の発症率不変, 年間薬剤費4,000円 費用対効果の視点を踏まえて、この患者に開始する内服薬はどれか。 ",a. ① | b. ② | c. ③ | d. ④ | e. ⑤,False,c,"脳血管障害の発症を予防するためには発症率を減らすことが重要であり、その上で費用をできるだけ抑えたいという患者の希望を考慮する必要があります。薬③は、脳血管障害の発症率を10%減らし、年間薬剤費が4,000円と最も低コストです。したがって、費用対効果の点でも最適です。",1.0,c,"薬①、②、③は同じ効果（脳血管障害発症率10%減）を示しますが、年間薬剤費が異なります。薬④、⑤は効果がないため除外できます。患者は治療費を抑えたいと希望しており、同じ効果であれば最も安価な選択肢を選ぶべきです。したがって、年間薬剤費が4,000円と最も安価で、かつ効果のある薬③が最も費用対効果に優れた選択となります。",0.9,c,脳血管障害の発症率を同程度減らす効果があるならば、年間薬剤費が最も低い薬③が費用対効果が高い。,1.0,c,脳血管障害発症率を同等に下げられる薬の中で最も年間薬剤費が低いため。,1.0,c,脳血管障害発症予防効果がある薬剤は①、②、③ですが、どれも同程度の効果を有するため、最も年間薬剤費が低い薬③が費用対効果の観点で最適である。,1.0
119E38,1歳の男児。全身の皮疹を主訴に母親に連れられて来院した。2週間前に感冒様症状があり、その後、感冒様症状は改善したが、1週間前から下肢の皮疹が出現した。2日前から全身に皮疹を認めるようになったため受診した。腹痛および関節痛は認めない。関節内出血や筋肉内出血の既往はない。家族歴に特記すべきことはない。身長80cm、体重10kg。体温36.5℃。脈拍120/分、整。呼吸数32/分。顔色良好、眼瞼結膜と眼球結膜とに異常を認めない。咽頭に発赤を認めない。頸部リンパ節を触知しない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝·脾を触知しない。皮疹は上からガラス板で圧迫しても退色しない。頰部、腹部および左下腿の皮疹の写真(別冊No.5A~C)を別に示す。予想される血液検査値はどれか。 ,a. PT延長 | b. APTT延長 | c. 血小板数低値 | d. Dダイマー高値 | e. フィブリノゲン低値,True,c,上記の症例は血小板減少性紫斑病（itp）が疑われます。圧迫しても退色しない皮疹は紫斑の特徴であり、血小板数の低下が予想されます。他の血液凝固関連の異常はこの症例では少ないと考えられます。,0.9,c,この症例は、典型的なitp（特発性血小板減少性紫斑病）の臨床像を示しています。主な根拠は：,0.9,c,皮疹が圧迫しても退色しないことから、紫斑病が考えられる。紫斑病の原因として血小板減少が最も可能性が高い。,1.0,c,ウイルス感染後に生じる急性itpが疑われ、血小板数の低下のみが特徴的だから。,1.0,c,この1歳児は、感冒後に発症する皮膚出血性病変（非退色性の点状出血または紫斑）がみられ、関節痛や腹痛などの全身症状が乏しいため、特に凝固異常は認められず、血小板の自己免疫的破壊による特発性血小板減少性紫斑病（itp）が最も疑われます。,1.0
119E39,65歳の女性。めまいを主訴に来院した。今朝、起床時に寝返りを打ったところ天井がぐるぐる回り、悪心を伴ったため、ベッド上で安静にしていた。めまいと悪心は1分程度で消失した。その後、朝食の準備中に振り向いた際に同様のめまいと悪心が再び出現したため、心配になり受診した。安静時のめまいはない。頭痛、耳鳴および難聴はない。意識は清明。体温36.5℃。脈拍72/分、整。血圧122/76mmHg。神経診察で異常を認めない。良性発作性頭位めまい症の診断予測スコアを表1に、その診断スコア合計点別の尤度比を表2に示す。 表1 良性発作性頭位めまい症の診断予測スコア めまいの持続時間2分以内: スコア1 寝返りで誘発される: スコア2 安静時にめまいがある: スコア-1 表2 診断スコア合計点別の尤度比 スコア合計-1点: 陽性尤度比0.1 スコア合計0点: 陽性尤度比0.2 スコア合計1点: 陽性尤度比1.3 スコア合計2点: 陽性尤度比2.8 スコア合計3点: 陽性尤度比6.8 この患者における良性発作性頭位めまい症の事前確率が40%である場合、この患者における良性発作性頭位めまい症の事後確率に最も近いのはどれか。 ,a. 8% | b. 19% | c. 47% | d. 65% | e. 82%,False,c,この患者の場合、めまいの持続時間が2分以内であるためスコア1が与えられ、寝返りで誘発されるためスコア2が追加されます。安静時にはめまいがないため、スコアは減算されません。したがって、スコア合計は3点です。このスコアに対応する陽性尤度比は6.8です。事前確率40%、陽性尤度比6.8を用いて、事後確率は計算できます。オッズ=事前確率/(1-事前確率)より、0.4/0.6=0.6666。事後オッズ=0.6666×6.8=4.5333。事後確率=事後オッズ/(1+事後オッズ)=4.5333/5.5333=0.8192。よって、この患者の事後確率は約82%となり、最も近い選択肢はc. 47%です。,0.9,d,解答手順は以下の通りです：,0.9,d,,0.9,e,診断スコアが3点であり、陽性尤度比は6.8となる。事前確率40%（オッズ0.67）に6.8を乗じるとオッズは約4.56となり、それを確率に戻すと約82%となる。,1.0,e,患者は「めまいの持続時間2分以内」(+1)と「寝返りで誘発される」(+2)のため、合計スコアは3点となります。表2によりスコア3点での陽性尤度比は6.8です。事前確率40%の場合、オッズ＝0.4/0.6=0.67、これに6.8を乗じると事後オッズは約4.53、事後確率は4.53/(1+4.53)≒82%となるため、正解は選択肢eです。,1.0
119E40,48歳の女性。腰痛と両下肢痛を主訴に来院した。昨日の朝、ごみ出しをした後から腰痛が出現し、両下肢にも痛みとしびれがみられた。市販の鎮痛薬を内服して様子をみていた。今朝1ベッドから起き上がるときに痛みが増強した。また、2今朝から尿が出にくくなった。3最近顔がほてったりする。48年前に子宮頸癌に対する手術を受けた。喫煙歴はない。飲酒は夫と週にワイン1本を飲む。5この1年間で体重が4kg増加した。意識は清明。身長152cm、体重68kg。体温36.8℃。脈拍80/分、整。血圧124/76mmHg。呼吸数22/分。SpO298%(roomair)。頭頸部と胸腹部に異常を認めない。肛門括約筋の収縮は減弱している。両側足関節底屈筋力の低下を認める。会陰部に知覚障害がある。腰部に強い痛みがあり、両臀部から大腿後面にかけて強い痛みとしびれを認める。上肢腱反射は正常。下肢では両側のアキレス腱反射が減弱している。下線部の病歴のうち、緊急性が高いのはどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,False,b,本症例において、最も緊急性が高いのは「今朝から尿が出にくくなった」ことであり、これは急性の馬尾症候群を示唆する可能性がある。この状態は緊急外科的介入が必要となることがあり、すぐに評価と治療を開始する必要がある。このため、選択肢「2」に関連する尿が出にくくなったことが緊急に対処すべき事象であると判断した。,0.9,b,尿が出にくい（排尿障害）という症状は、馬尾症候群を示唆する重要な警告症状です。腰痛と両下肢痛に加えて、排尿障害、肛門括約筋の機能低下、会陰部の知覚障害がある場合、馬尾症候群を疑う必要があります。これは緊急手術の適応となる状態で、治療が遅れると永続的な神経障害を引き起こす可能性があるため、最も緊急性が高い症状です。,0.9,b,腰痛と下肢痛に加えて排尿困難が出現していることから、馬尾症候群が疑われる。馬尾症候群は緊急手術の適応となるため、最も緊急性が高い。,1.0,b,今朝からの排尿困難は馬尾症候群などの緊急性を示唆するから,1.0,b,今朝からの尿の出にくさは、馬尾症候群の急性進行を示唆しており、早急な対応が必要な緊急症状であるため選択しました。,1.0
