question_number,question_text,choices,has_image,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,o1_answer,o1_explanation,o1_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence,,,
119C37,7歳の男児。嘔吐と下痢を主訴に母親に連れられて来院した。2日前から38℃の発熱、嘔吐及び1日8回の水様下痢が持続しており、経口水分摂取が困難なため入院した。入院時検査で便中ノロウイルス抗原が陽性であった。研修医がビニールエプロン、サージカルマスク、アイガード及びディスポーザブル手袋を着用し病室で診察をしていたところ、患児がプラスチック製テーブルの上に少量嘔吐した。研修医は嘔吐後の患児の状態が安定していることを確認後、1ペーパータオルで吐物を拭き取り、2ペーパータオルをビニール袋に入れて密封後に3医療廃棄物用のごみ箱に捨て、テーブルの上を4アルコール綿で拭いて消毒した。その後、ディスポーザブル手袋、アイガード、ビニールエプロン、サージカルマスクを医療廃棄物用のごみ箱に捨て、5自分の手を石鹸を用いて流水で洗浄した。:下線部のうち、対応で誤っているのはどれか。,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,FALSE,d,ノロウイルスはアルコールでは不活化されないため、消毒にアルコール綿を使うのは不適切です。適切な方法は次亜塩素酸ナトリウムなどを使用することです。その他の選択肢は適切な手順で行われています。,0.9,d,ノロウイルス消毒にアルコールは不適切であり、次亜塩素酸ナトリウムなどを用いる必要があるため。,1.0,d,ノロウイルスは非被膜ウイルスであり、アルコールベースの消毒剤では十分に不活性化できないため、テーブル消毒にアルコール綿を用いるのは不適切な対応である。通常は次亜塩素酸ナトリウムなどの漂白剤が推奨される。,1.0,,,
119C38,41歳の初産婦(1妊0産)。妊娠40週4日、陣痛発来のため入院した。陣痛発来から16時間後に子宮口が全開し、3時間経過した。身長160cm、体重65kg。体温36.9℃。血圧138/84mmHg。陣痛間欠時は閉眼し、陣痛発作時にのみ唸り声をあげる。神経診察で異常を認めない。陣痛周期は5~6分、持続時間は20秒であった。児頭下降度はSP±0cm、2時方向に小泉門を触知した。胎児心拍数陣痛図で、胎児心拍数基線は140bpm、基線細変動は中等度、徐脈はなく、一過性頻脈を認める。次に行うのはどれか。,a. 吸引分娩 | b. 経過観察 | c. 帝王切開 | d. 胎児圧出法 | e. 子宮収縮薬投与,FALSE,a,問題のケースは分娩第2期が3時間以上経過しており、児頭の下降がsp±0cｍと進行していないため、経過観察は適切でない。また、直ちに帝王切開を選択する状況ではなく、陣痛周期にも改善の余地がある。経腟分娩の手段として吸引分娩を選択することで、児をとりあげることが可能と考えられる。,0.8,e,第2期が3時間経過しているが胎児心拍は正常であり、陣痛が十分ではないため、まずは子宮収縮薬による陣痛促進を試みるのが適切である。,0.9,e,この症例は初産婦で第二産程が全開後3時間経過しているが、陣痛の持続時間が20秒と短く、十分な推進力が得られていないため、陣痛を強化して促進する目的で子宮収縮薬投与が適切と判断される。,1.0,,,
119C39,98歳の女性。家族から呼吸が止まったと往診依頼があった。5年前に脳梗塞を発症し、3年前から寝たきりとなり、訪問診療を受けている。本人の意向で積極的な治療は行わずに在宅看取りの方針であった。1か月前からほとんど食事が摂れなくなり、体重が減少してきた。2週間前から傾眠状態となり、ここ数日は体を揺すっても反応がなかった。本日未明に依頼があり、早朝に往診した。家族によると4時間前に呼吸が止まったという。診察を行い、瞳孔散大、呼吸停止および心停止を確認した。背中にはわずかに死斑が出現し、顎関節には死後硬直が出現していた。身体に外傷はなく、るいそうと脱水所見を認めた。経過と死体所見から老衰による死亡と判断した。死亡診断書の直接死因欄に記載するのはどれか。,a. 老衰 | b. 心不全 | c. 脳梗塞 | d. 呼吸不全 | e. 不詳の死,FALSE,d,死亡診断書の直接死因欄には、最終的な臨床的な死因、すなわち死亡をもたらした解剖学的または病理学的状態を記載する必要があります。老衰による死は直接的には呼吸や心臓の機能停止として現れるため、呼吸停止を示す「呼吸不全」が適切です。,0.9,a,経過と所見から老衰による死亡と判断されるため、直接死因欄には「老衰」を記載する。,1.0,a,患者は長期間の機能低下と自然経過の末に死亡しており、臨床経過・死体所見から急性病変が認められないため、死亡診断書の直接死因欄には「老衰」と記載する。,1.0,,,
119C40,45歳の男性。労作時の息苦しさを主訴に来院した。3年前からカバンを持ったときに手を離しにくく、1年前からペットボトルのふたが開けにくいと感じるようになった。1か月前からわずかな労作でも息苦しさを感じるようになった。喫煙歴はない。意識は清明。身長168cm、体重48kg。体温36.5℃。脈拍68/分、整。血圧118/70mmHg。呼吸数16/分。SpO296%(roomair)。心音と呼吸音とに異常を認めない。腹部は平坦、軟。下腿に浮腫を認めない。胸鎖乳突筋の萎縮を認める。徒手筋力テストで筋力の低下があり、両下肢遠位筋は萎縮し、四肢の腱反射は低下している。母指球のハンマー叩打でミオトニアを認める。動脈血ガス分析(roomair):pH7.36、PaCO247Torr、PaO279Torr、HCO3-26mEq/L。胸部エックス線写真に異常を認めない。別に示す呼吸機能検査でのflow-volume曲線(別冊No.41~5)のうち、この患者で予想されるのはどれか。,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,FALSE,c,臨床所見からミオトニアが疑われ、筋ジストロフィー等の神経筋疾患に関連する拘束性換気障害が考えられます。flow-volume曲線で拘束性障害を示すものが選択肢cです。,0.9,c,近位・遠位筋力低下を伴う神経筋疾患による呼吸筋低下が原因の拘束性換気障害が示唆され、flow-volume曲線では容量全体が縮小したパターン（③番）が予想されるため。,0.9,c,この症例は筋力低下とミオトニアを伴う神経筋疾患（例：ミオトニック・ジストロフィー）による呼吸筋不全を示しており、呼吸機能検査では全体の肺容量が低下する「拘束性換気障害」のパターンが予想されます。拘束性障害ではfev1およびfvcがともに低下しますが、fev1/fvc比は正常またはむしろやや高く、flow‐volume曲線は正常な形状を保ちながら全体が縮小しているため、選択肢3が適切です。,1.0,,,
119C41,55歳の男性。建設作業員として勤務中、高所から転落して頭部を強打したため救急車で搬入された。急性硬膜下血腫と診断され、血腫除去術を受けた。左下肢に麻痺があるが、高次脳機能に問題はなく、杖を使って歩行できるようになったため、退院後の復職を検討している。在籍している会社からは、資材管理部門への配置転換を提案されている。この患者の生活機能に関する評価を国際生活機能分類〈ICF〉で行った場合、会社の提案はどれに相当するか。,a. 活動 | b. 参加 | c. 環境因子 | d. 個人因子 | e. 心身機能·身体構造,FALSE,c,資材管理部門への配置転換の提案は、患者の状況に対する外部的な支援や環境の調整に当たるため、icfの「環境因子」に該当します。環境因子は個人が生活するための物理的、社会的、態度的環境を指します。,0.9,c,会社による配置転換の提案は、外部からの支援として環境因子（icfの「環境因子」）に該当するため。,0.9,c,icfでは、職場での配置転換など、外部の環境要因によって個人の社会参加が左右されるため、この提案は環境因子に該当する。,1.0,,,
119C42,37歳の女性。めまいと右耳の難聴を主訴に来院した。6か月前から回転性めまい発作を繰り返している。めまいの持続時間は30分から2時間程度で、めまいの際には、悪心、右耳の耳鳴および難聴を伴う。別に示すオージオグラム(別冊No.51~5)のうちこの患者のオージオグラムはどれか。,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,FALSE,d,この症例はメニエール病が疑われます。メニエール病のオージオグラムは低音域での感音性難聴が特徴的です。図4はこの特徴に一致しており、低音域の聴力が低下しています。,0.9,a,メニエール病では初期に低音域優位の感音難聴を示すことが多く、提示されたオージオグラムのなかでは1番がそのパターンを最もよく示すため。,0.9,a,この患者は反復性の回転性めまい、悪心、耳鳴および難聴を呈しており、典型的なメニエール病の臨床像です。メニエール病では初期に低音域の感音難聴が見られるため、提示されたオージオグラムの中で低音域で聴力低下が認められるグラフ（図1）が最も適合します。,1.0,,,
119C43,30歳の女性(0妊0産)。挙児を希望して産婦人科を受診した。月経周期は30~60日、不整。3年前から高血圧症でカルシウム拮抗薬を内服している。仕事は小学校の教師。1年前に結婚した。身長160cm、体重90kg。脈拍72/分、整。血圧130/80mmHg。この患者の妊娠に向けた助言で適切なのはどれか。,a. 休職 | b. 体重の減量 | c. 妊娠の断念 | d. 降圧薬の中止 | e. 体外授精の開始,FALSE,b,患者の月経不順と肥満は、妊娠に影響を与える可能性があるため、体重の減量は妊娠を希望する上で重要です。体重減少により月経周期が整うことがあります。その他の選択肢は、このケースでは適切とは言えません。例えば、降圧薬を中止するのは危険ですし、体外授精はまず体重管理の努力をするのが一般的です。,0.9,b,肥満により月経不順や高血圧のリスクが高まるため、減量による血圧コントロールと排卵機能の改善が期待できる。,0.9,b,この患者は肥満であり、体重減少によって月経不順や排卵障害の改善が期待できるため、妊娠を希望する場合は体重の減量が適切な助言となる。,1.0,,,
119C44,40歳の女性。性器出血の持続を主訴に来院した。5日前から性器出血を認め、2日前から下腹部痛も伴うようになった。最終月経は4週間前。月経周期は30~60日、不整、持続5日間。身長153cm、体重50kg。体温36.5℃。脈拍80/分、整。血圧118/64mmHg。呼吸数18/分。腹部は平坦、軟で、肝·脾を触知しない。最初に行う対応はどれか。,a. 腹部単純CT | b. 妊娠反応検査 | c. 経腟超音波検査 | d. 子宮内膜組織診 | e. プロゲステロン投与,FALSE,b,性器出血や不整月経がある場合、妊娠の可能性をまず排除するために妊娠反応検査を行うことが重要です。特に年齢や症状が妊娠の可能性を示唆する場合、このステップは診断の基礎として必要です。,0.9,b,妊娠可能年齢の女性が性器出血を訴えた場合、まずは妊娠の有無を確認するために妊娠反応検査を行うことが基本となるため。,1.0,b,女性の生殖年齢において、性器出血と下腹部痛の症状が認められる場合、まずは妊娠の有無を確認し、妊娠関連の合併症（例：着床異常、流産など）を除外することが重要だからです。,1.0,,,
119C45,"10か月の男児。発熱を主訴に母親に連れられて夜間救急外来を受診した。在胎40週、身長49cm、体重3,150g、頭囲33cmで出生した。母子健康手帳で乳児健診の記録はなく、定期予防接種は行われていない。5日前から39℃台の発熱が続き、3日前に3分間のけいれんを起こしたが、医療機関の受診はしていなかった。100mLのミルクを1日4回与えているとのことである。身長63cm、体重6,500g、体温37.2℃、心拍数120/分、整。SpO298%(roomair)。表情は乏しく、活気も少ない。皮膚のツルゴールは低下している。体表に外傷やあざは認めない。おむつ内には乾いた便が付着しており、臀部は赤くかぶれてびらんがある。衣類は汚れが目立っていた。胸部聴診および腹部触診で異常を認めない。適切な対応はどれか。",a. 入院させる。 | b. 警察へ通報する。 | c. 自宅で経過観察させる。 | d. 家族に育児への協力を促す。 | e. 明日かかりつけ医を受診させる。,FALSE,a,この男児は育児放棄の可能性があり、脱水や栄養不良が考えられる状態です。即時の入院が必要であると判断されます。警察への通報も考慮する必要がありますが、まず急を要するのは男児の医療的なケアです。したがって、選択肢aの入院させることが最も適切な対応です。,0.9,b,明らかに医療および養育上のネグレクトが疑われる状況であり、医師には児童相談所または警察に通告する法的義務がある。選択肢中に児童相談所への通告がないため、警察へ通報する(b)が適切となる。,0.9,a,この男児は発熱、けいれんの既往に加え、低栄養・発育不良、脱水（皮膚のツルゴール低下）、不衛生な衣類といった徴候から明らかな育児不良が疑われる。これらのリスクを踏まえると、今後も安全に健康管理を行うため、医療的評価・治療および適切な社会的介入（例：児童相談機関との連携）が必要となるため、まず入院して総合的な評価を行うことが最も適切である。,0.95,,,
119C46,24歳の女性。自傷行為を繰り返すためパートナーに付き添われて来院した。パートナーの言動に不満があると、怒鳴るなどの行為が止まらず、衝動的に市販の総合感冒薬を過量に服用したり、前腕をカミソリで自傷したりする。大学院を卒業後、研究職に就いている。この患者に行う心理検査はどれか。,a. Rorschachテスト | b. 前頭葉機能検査〈FAB〉 | c. Wechsler成人知能検査 | d. リバーミード行動記憶検査 | e. Mini-MentalState Examination(MMSE),FALSE,a,患者は自傷行為や感情の不安定さ、衝動性を示しており、これは人格や情緒の評価が必要です。このようなケースでは、潜在的な感情や葛藤を理解するためのプロジェクティブテストであるrorschachテストが適していると考えられます。その他の選択肢は、知能や認知機能の評価を目的としており、今回のケースには適しません。,0.9,a,衝動性やパーソナリティ特徴の評価のために投影法の心理検査であるrorschachテストが適切であるため。,0.9,a,この患者は衝動性や自傷行為等が見られ、人格の内面や葛藤を評価する必要があるため、プロジェクティブテストであるrorschachテストが適していると考えられる。他の検査は認知機能や記憶の評価に適しており、今回のケースには合致しない。,1.0,,,
119C47,58歳の女性。既往歴に特記すべきことはない。昨日、交通事故で死亡した息子の通夜があった。息子の傍にいたいと言って棺が安置されている部屋に行ったまま、朝になっても帰ってこないのを不審に思った夫が部屋に行ったところ、棺内に上半身を入れた状態で死亡しているのを発見した。死因で考えられるのはどれか。,a. トルエン中毒 | b. 硫化水素中毒 | c. 一酸化炭素中毒 | d. 二酸化炭素中毒 | e. ホルマリン中毒,FALSE,c,一酸化炭素中毒は換気が不十分な環境や狭い空間で発生しやすい。棺の中に上半身を入れた状態で長時間過ごしたことが要因として考えられるため、一酸化炭素中毒が死因として最も考えられる。,0.8,d,遺体の冷却・保存のために用いられるドライアイスなどから高濃度の二酸化炭素が発生し、棺の内部で酸欠状態となったことが考えられるため。,0.9,d,棺という密閉空間内で上半身を入れていたことで、呼気により二酸化炭素が蓄積され、十分な換気がされなかったため二酸化炭素中毒による死が考えられる。,1.0,,,
119C48,"31歳の初妊婦(1妊0産)。妊娠34週4日、里帰り分娩目的で地元の産科診療所を紹介され受診した。既往歴と家族歴に特記すべきことはない。腹部超音波検査で胎児は頭位、推定体重1,500g、羊水指数〈AFI〉は3cmであった。次に行うべき検査はどれか。",a. 羊水検査 | b. 胎児MRI | c. 胎児心拍数モニタリング | d. 75g経口ブドウ糖負荷試験 | e. 成人T細胞白血病ウイルス検査,FALSE,c,afiが3cmと非常に低いことから羊水過少症が疑われ、胎児の健康状態を確認する必要があります。胎児心拍数モニタリングは胎児のストレスや健康状態を評価するために迅速かつ非侵襲的に可能であるため、最も適切な選択です。,0.9,c,胎児発育不全と羊水過少が疑われるため、まず胎児のwell-beingを評価するために胎児心拍数モニタリングを行う。,0.9,c,妊娠34週でafiが3cmという重度の低羊水は胎盤機能不全を示唆し、胎児虚血のリスクが高くなります。したがって、胎児の状態を迅速に評価するため、非侵襲的な胎児心拍数モニタリングが次に行うべき検査です。他の選択肢はこの状況では適応されません。,1.0,,,
119C49,"日齢0の女児。妊娠経過は異常なく、在胎40週1日、体重2,260g、身長42cm。Apgarスコア6点(1分)、8点(5分)で自然分娩で出生した。出生後、後頭部の突出、耳介低位、口唇口蓋裂、小顎、背中の多毛および筋緊張の低下を認めた。心エコー検査で心室中隔欠損と動脈管開存症を認めた。今後両親に説明の上、染色体検査を予定している。顔貌の写真(別冊No.6A)と手指の写真(別冊No.6B)とを別に示す。予想される染色体検査の結果はどれか。","a. 45,X | b. 46,XX | c. 47,XXX | d. 47,XX,+18 | e. 47,XX,+21",FALSE,d,記述された症状（口唇口蓋裂、小顎、耳介低位、多毛、心奇形）はエドワーズ症候群（18トリソミー）の特徴です。,0.95,d,低出生体重、後頭部突出、耳介低位、口唇口蓋裂、小顎、特有の指（重なり指）などedwards症候群（trisomy 18）の特徴が典型的にみられるため。,1.0,d,本症例は、出生時低体重、後頭部突出、耳介低位、口唇口蓋裂、小顎、背中の多毛、筋緊張低下に加え心室中隔欠損と動脈管開存症という特徴があり、これらはエドワーズ症候群（トリソミー18）に典型的な所見であるため。,1.0,,,
119C50,59歳の女性。がん検診で便潜血反応陽性を指摘され来院した。便通異常の自覚はない。意識は清明。身長152cm、体重46kg。体温36.1℃。脈拍64/分、整。血圧136/82mmHg。眼瞼結膜と眼球結膜とに異常を認めない。頸部リンパ節を触知しない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝·脾を触知しない。腸雑音に異常を認めない。四肢に浮腫を認めない。下部消化管内視鏡検査のS状結腸像(別冊No.7)を別に示す。生検組織の病理検査で高分化腺癌と診断された。患者から「私の病気の場合、どこに転移しやすいのでしょうか」との質問があった。この患者で最も転移の可能性が高い臓器はどれか。,a. 脳 | b. 肺 | c. 肝臓 | d. 骨髄 | e. 副腎,FALSE,c,結腸癌（特にs状結腸癌）は門脈を通じて肝臓に転移しやすい。この患者は高分化腺癌と診断されたため、肝臓が最も転移の可能性が高いと考えられる。,1.0,c,大腸癌は門脈を介して肝臓へ転移しやすいため,1.0,c,大腸がんは門脈循環を介して肝臓に転移しやすいため、この症例のようなs状結腸の高分化腺癌では肝臓転移が最も一般的です。,1.0,,,
119C51,"19歳の女性。無月経と倦怠感を主訴に来院した。1年前から体重の減量を目的に食事を減らすようになった。6か月前から月経がなく、1か月前から倦怠感を自覚しているため心配した母親とともに受診した。1年前と比較して体重は約10kg減少している。本人は減量に満足しておらずもう少し体重を減らしたいと考えている。意識は清明。身長160cm、体重40kg。体温36.0℃。脈拍56/分、整。血圧88/50mmHg。るいそうと下腿の軽度の圧痕性浮腫を認める。尿所見:蛋白(一)、糖(一)、ケトン体1+。妊娠反応陰性。血液所見:赤血球410万、Hb12.0g/dL、Ht40%、白血球3,200、血小板12万。血液生化学所見:AST20U/L、ALT18U/L、血糖82mg/dL、TSH3.6μU/mL(基準0.2~4.0)、LH3mIU/mL(基準1.8~7.6)、FSH4mIU/mL(基準5.2~14.4)、FT32.0pg/mL(基準2.3~4.3)、FT41.2ng/dL(基準0.8~2.2)、エストラジオール10pg/mL(基準25~75)。経腟超音波検査で子宮の軽度萎縮を認める。対応で適切でないのはどれか。",a. 栄養管理 | b. 心理療法 | c. 家族への支援 | d. 女性ホルモン投与 | e. 甲状腺ホルモン投与,FALSE,e,この患者は食事制限による体重減少が原因で無月経と倦怠感を生じていると思われ、摂食障害が示唆されます。この場合、栄養管理、心理療法、家族への支援は重要な対応です。女性ホルモン低下による症状もあるため、ホルモン投与が検討される可能性があります。しかし、甲状腺ホルモンは正常範囲内であり、投与する必要はないため、適切でない選択肢は甲状腺ホルモン投与です。,0.9,e,本症例は無月経と低体重が原因の機能的下垂体性甲状腺機能低下（いわゆるeuthyroid sick syndrome）であり、甲状腺ホルモン投与は不要なため。,1.0,e,この症例は摂食障害に伴う栄養不良と低体重による機能性無月経が認められるため、治療の基本は栄養管理、心理療法、そして家族への支援です。女性ホルモン投与は骨密度低下対策など限定的に検討される場合もありますが、根本的な治療法ではありません。一方、甲状腺ホルモン投与はtshやft4が正常であり、飢餓状態で起こる生理的な低t3症候群（適応現象）に対しては行うべきでないため、適切でない対応となります。,1.0,,,
119C52,8歳の女児。12月1日(金)午後6時から発熱を認めたため、12月2日(土)に母親に連れられて来院した。抗原検査でインフルエンザAと診断され、抗インフルエンザ薬を処方された。12月3日(日)には解熱し、症状が改善した。12月1日に発熱。12月2日に抗原検査要請。12月3日に解熱した。登校が可能になるのはどれか。,a. 4日(月) | b. 5日(火) | c. 6日(水) | d. 7日(木) | e. 8日(金),FALSE,c,インフルエンザにかかった場合、学校保健安全法では「発症した後5日を経過し、かつ解熱した後2日を経過するまで」は出席停止とされています。この女児は12月1日に発症し、12月3日に解熱しているため、発症の5日目は12月6日です。したがって、登校が可能になるのは12月6日（水）となります。,0.9,c,インフルエンザの出席停止基準は「発症後5日を経過し、かつ解熱後2日を経過するまで」である。12月1日に発熱し3日に解熱した場合、5日目にあたる6日(水)に登校可能となる。,1.0,c,インフルエンザ管理の基準では、発症日を含めた5日間の自宅療養が求められ、さらに解熱後24時間以上経過していることが条件となります。本症例では12月1日が発症日となるため、12月1日～5日を療養期間とし、なおかつ12月3日の解熱により解熱後24時間以上の条件も満たしています。よって、登校可能日は12月6日(水)となります。,0.95,,,
119C53,医師と保護者との会話を以下に示す。父親:「5歳の男の子です。幼稚園の先生から『4月から年長組になったので、小学校に入学するまでに接種すべき予防接種があります。夏休みに接種に行ってください』と言われたので、来ました」医師:「これまでの予防接種歴はどうですか」父親:「定期接種はすべて接種しています」医師:「直近の予防接種はいつですか」父親:「昨年の夏休みです」この児に接種すべき予防接種はどれか。,a. MRワクチン | b. 水痘ワクチン | c. 髄膜炎菌ワクチン | d. 小児用肺炎球菌ワクチン | e. インフルエンザ桿菌ワクチン,FALSE,a,"5歳時点で定期接種すべきワクチンとしてmrワクチン（麻疹風疹混合ワクチン）の2回目が考えられます。他の選択肢（b, c, d, e）は5歳時点で定期的に接種が推奨されるものではないためです。",0.9,a,年長組に進級する直前の年齢で接種すべき定期接種はmrワクチン（2期）であるため。,1.0,a,日本の定期接種では、小児期に水痘、肺炎球菌、インフルエンザ桿菌（hib）ワクチンは接種済みであり、髄膜炎菌ワクチンは通常定期接種に含まれません。一方、mrワクチンは1歳接種後、小学校入学前のブースター接種が必要とされるため、この児にはmrワクチンが接種すべき予防接種となります。,1.0,,,
119C54,68歳の女性。腰背部痛を主訴に来院した。本日、起床時に転倒し尻もちをついた後から、腰背部の痛みのため体動困難となったため受診した。40歳時から関節リウマチでメトトレキサートとグルココルチコイドを内服している。意識は清明。身長152cm、体重46kg。体温36.7℃。脈拍80/分、整。血圧144/88mmHg。呼吸数16/分。両下肢に感覚障害や運動障害を認めない。背部正中に叩打痛を認める。最も考えられる疾患はどれか。,a. 尿管結石 | b. 強直性脊椎炎 | c. 脊椎圧迫骨折 | d. 腰部脊柱管狭窄症 | e. 腰椎椎間板ヘルニア,FALSE,c,患者は65歳以上の高齢女性であり、関節リウマチの治療としてグルココルチコイドを長期にわたって使用しています。グルココルチコイドの長期使用は骨粗鬆症を引き起こしやすく、軽い転倒でも脊椎圧迫骨折を引き起こす可能性があります。腰背部の痛みおよび叩打痛は脊椎圧迫骨折を示唆しています。両下肢に感覚障害や運動障害がないこともこの診断を支持します。結石やヘルニア、脊柱管狭窄症の症状とは異なるため、cが最も適切です。,0.9,c,ステロイド内服や転倒による尻もちがきっかけとして、圧迫骨折を最も疑うため。,0.9,c,高齢でグルココルチコイド使用歴があり、骨粗鬆症リスクが高い患者で、転倒後の即時発症かつ背部正中の叩打痛が認められるため、脊椎圧迫骨折が最も考えられる。,1.0,,,
119C55,44歳の男性。健康診断で初めて血圧高値を指摘され来院した。健康診断時の血圧は138/88mmHgであった。体重は20歳ごろから変わっていない。既往歴に特記すべきことはない。喫煙歴はない。飲酒は月1回で日本酒0.5合(アルコール濃度15%)/回。健康診断後から毎日ジョギングを1時間している。身長162cm、体重58kg。BMI22.0。脈拍68/分、整。血圧134/82mmHg。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝·脾を触知しない。下肢に浮腫を認めない。尿所見:蛋白(一)。血液生化学所見:クレアチニン0.7mg/dL、尿酸6.4mg/dL、空腹時血糖80mg/dL、HbAlc5.4%(基準4.9~6.0)、総コレステロール196mg/dL、トリグリセリド100mg/dL、HDLコレステロール68mg/dL。食事内容の評価で、食塩摂取量5.5g/日、野菜摂取量200g/日。この患者の生活習慣に対する指導で適切なのはどれか。,a. 「飲酒はやめましょう」 | b. 「塩分を控えましょう」 | c. 「体重を減らしましょう」 | d. 「運動量を増やしましょう」 | e. 「野菜を多く摂りましょう」,FALSE,e,この患者は健康診断で軽度の高血圧を指摘されていますが、現在の生活習慣は全体的に良好です。食塩摂取量は日本の基準よりも低く（日本高血圧学会の推奨は6g/日未満）、アルコール摂取も非常に控えめです。bmiも正常範囲内であり、運動も定期的に行っています。したがって、塩分やアルコール摂取をこれ以上制限する必要はなく、運動をさらに増やす必要もないです。野菜の摂取量がやや不足しているため、野菜を多く摂ることを指導するのが適切です。,0.9,e,bmiが正常で塩分摂取量も6g/日未満と推奨範囲に近いため、特に減量や塩分制限の強化は不要である。一方、野菜摂取量は350g/日以上が推奨されており、現在の200g/日は不足しているため「野菜を多く摂りましょう」が適切である。,1.0,e,本例では体重、運動、塩分、飲酒の面ではすでに適切な生活習慣が維持されていますが、野菜摂取量が200g/日と推奨量（約350g/日）に届いていないため、野菜を多く摂るよう指導することが適切です。,1.0,,,
119C56,"生後18時間の女児。在胎39週、体重2,900g、Apgarスコア8点(1分)、9点(5分)で頭位自然分娩で出生した。妊娠·分娩経過に異常はなかった。体温37.1℃。脈拍140/分、整。呼吸数48/分。SpO296%(roomair)。皮膚は赤く、チアノーゼは認めない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で右肋骨弓下に肝を1cm触知するが、脾は触知しない。生後1時間から授乳を母乳で開始し、生後6時間にビタミンKを内服した。嘔吐は認めない。生後18時間に初めて排泄した便の写真(別冊No.8)を別に示す。適切な対応はどれか。",a. 補液 | b. 母乳継続 | c. 経鼻胃管留置 | d. ビタミンK製剤静注 | e. アレルギー用人工乳開始,FALSE,b,新生児の初回便（胎便）は黒緑色で粘稠性があり、通常の便で異常はないため、母乳継続が適切です。他に異常兆候がなく、経過も順調です。,0.9,b,正常な胎便であり、全身状態も良好なため授乳を継続するのみでよい。,0.9,b,新生児は全体的に安定しており、正常な身体所見と適切な初回便排泄（生後18時間にて）を示しています。特に異常が認められないため、現状の母乳授乳を継続するのが最も適切な対応です。,1.0,,,
119C57,62歳の男性。右眼の視野に見えにくい部分があることを主訴に来院した。既往歴として10年前に気管支喘息重積状態となり入院した。3年前から喘息発作を繰り返しており、総合病院の呼吸器内科外来に通院している。視力は右0.1(1.0×-3.0D)、左0.2(1.0×-2.5D)、眼圧は右27mmHg、左20mmHg。両眼の前眼部、中間透光体に異常を認めない。右眼の眼底写真(別冊No.9A)と視野検査の結果(別冊No.9B)とを別に示す。適切な点眼薬はどれか。,a. 抗菌薬 | b. β遮断薬 | c. 副交感神経刺激薬 | d. 副腎皮質ステロイド薬 | e. プロスタグランディン関連薬,FALSE,e,右眼の高眼圧（27mmhg）と視野異常から緑内障が疑われます。プロスタグランディン関連薬は眼圧低下作用があり緑内障治療に用いられます。気管支喘息の既往があるため、β遮断薬は避けるべきです。,0.9,e,喘息患者ではβ遮断薬は禁忌となるため，緑内障の第一選択薬としてプロスタグランディン関連薬を用いるのが適切である。,1.0,e,全身性既往歴として喘息があるため、β遮断薬は副作用として気管支収縮を引き起こす可能性があり不適です。眼底写真や視野検査で示唆される開放隅角緑内障に対しては、眼圧低下効果が高いプロスタグランディン関連薬が第一選択となるため、適切な点眼薬はeです。,1.0,,,
119C58,"82歳の男性。全身倦怠感を主訴に来院した。2週間前から全身倦怠感が持続し2日前に家族から顔色不良を指摘されため受診した。意識は清明。体温36.6℃。脈拍98/分、整。血圧138/80mmHg。血液所見:赤血球174万、Hb5.4g/dL、Ht16%、網赤血球1%、白血球1,800(分葉核好中球20%、好酸球1%、単球2%、リンパ球77%)、血小板8.2万。貧血に対して濃厚赤血球輸血を行ったが、輸血開始から2時間経過したところで呼吸困難を訴えた。意識は清明。体温37.0℃。脈拍132/分、整。血圧98/62mmHg。呼吸数18/分。SpO290%(roomair)。再度行なった血液型検査では不適合を認めず、不規則抗体は陰性で交差適合試験〈クロスマッチ〉で異常を認めなかった。原因で考えられるのはどれか。2つ選べ。",a. アナフィラキシー | b. 間質性肺炎 | c. ヘモクロマトーシス | d. 輸血関連急性肺障害 | e. 輸血後GVHD,FALSE,ad,輸血後に急速に呼吸困難が発生し、輸血不適合反応や不規則抗体がないことから、輸血関連急性肺障害（trali）が強く疑われます。traliは輸血後に起こる急性の呼吸困難で、通常、クロスマッチや抗体不適合と関係なく発生します。また、輸血後のアレルギー反応としてアナフィラキシーも考えられます。ヘモクロマトーシスやgvhdは急性の反応とは考えにくく、間質性肺炎も典型的な急性反応ではありません。したがって、aとdが最も適切な選択肢です。,0.9,ad,不適合や不規則抗体がなく急性の呼吸困難と低血圧を呈していることから，アナフィラキシーと輸血関連急性肺障害が考えられる。,0.9,ad,この症例は、輸血開始後2時間で呼吸困難、低酸素および軽度の血圧低下が認められており、対合試験や不規則抗体検査で異常がないため、免疫性溶血反応は除外される。輸血後の急性呼吸障害としては、（ｄ）輸血関連急性肺障害（trali）が典型的で、輸血後6時間以内に非心原性肺水腫として出現する。一方、（ａ）アナフィラキシーも血液製剤中の成分に対するige媒介反応として起こり得るが、通常は輸血開始直後に発症する。しかし、場合によっては発症タイミングにばらつきがあることから、今回のような症例では両者が鑑別として考えられるため、aとdが正解となる。,0.9,,,
